Date,Sentiment
2013-11-10,0.0
2014-01-15,1.0
2014-04-09,-1.0
2014-06-30,-1.0
2014-08-25,0.0
2014-09-11,1.0
2014-09-23,1.0
2014-12-04,0.0
2015-01-29,0.0
2015-02-01,-1.0
2015-02-04,-1.0
2015-03-01,-1.0
2015-04-26,0.0
2015-04-27,-1.0
2015-05-07,0.0
2015-05-17,-1.0
2015-05-20,1.0
2015-06-17,0.0
2015-08-11,-1.0
2015-08-12,0.0
2015-08-24,-1.0
2015-08-26,-1.0
2015-09-09,-1.0
2015-09-28,0.0
2015-09-29,-0.3333333333333333
2015-10-09,0.0
2015-12-16,0.0
2015-12-20,-1.0
2015-12-22,0.0
2015-12-31,0.0
2016-01-27,-1.0
2016-02-14,-1.0
2016-05-06,1.0
2016-05-17,0.0
2016-05-26,0.0
2016-06-04,-1.0
2016-06-20,0.0
2016-06-26,0.0
2016-07-31,-1.0
2016-10-19,-1.0
2016-12-13,0.0
2016-12-18,-1.0
2017-01-14,-1.0
2017-01-27,-1.0
2017-02-04,-1.0
2017-02-16,0.0
2017-03-01,0.0
2017-03-09,0.0
2017-03-19,-1.0
2017-03-24,1.0
2017-04-08,0.0
2017-04-20,0.0
2017-04-23,-1.0
2017-04-26,0.0
2017-05-06,0.0
2017-05-20,-1.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-31,-1.0
2017-06-11,-1.0
2017-06-22,0.0
2017-06-30,-1.0
2017-07-10,-1.0
2017-07-22,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-08-02,0.0
2017-08-09,-1.0
2017-08-19,-1.0
2017-08-29,-1.0
2017-09-03,1.0
2017-09-08,0.0
2017-10-12,0.0
2017-10-14,0.0
2017-10-25,-1.0
2017-11-04,-1.0
2017-11-12,-1.0
2017-11-29,0.0
2017-12-13,-1.0
2017-12-24,0.0
2017-12-30,-1.0
2018-01-14,1.0
2018-01-15,0.0
2018-02-03,1.0
2018-02-08,-1.0
2018-02-10,0.0
2018-03-07,-1.0
2018-03-09,-1.0
2018-03-19,-1.0
2018-03-27,-1.0
2018-04-03,-0.5
2018-04-10,0.0
2018-05-04,-1.0
2018-05-06,-1.0
2018-05-09,0.0
2018-05-24,0.0
2018-05-25,1.0
2018-06-07,-1.0
2018-06-12,1.0
2018-06-13,1.0
2018-06-27,-1.0
2018-06-30,-1.0
2018-07-09,0.0
2018-07-11,0.0
2018-07-12,1.0
2018-07-16,1.0
2018-07-17,-1.0
2018-07-23,-1.0
2018-07-29,-1.0
2018-08-02,-1.0
2018-08-14,0.0
2018-08-15,-1.0
2018-08-18,-1.0
2018-08-21,0.0
2018-08-25,0.0
2018-08-30,-1.0
2018-09-17,0.0
2018-09-27,1.0
2018-10-05,1.0
2018-10-10,-1.0
2018-10-12,-1.0
2018-10-15,0.0
2018-10-26,0.0
2018-10-30,-1.0
2018-11-03,-0.5
2018-11-06,-1.0
2018-11-08,-1.0
2018-11-15,1.0
2018-11-17,0.0
2018-11-22,0.0
2018-11-24,-1.0
2018-11-25,0.0
2018-12-05,0.0
2018-12-09,0.0
2018-12-16,0.0
2018-12-30,-1.0
2019-01-08,0.0
2019-01-16,-1.0
2019-01-18,1.0
2019-01-20,0.0
2019-01-31,-1.0
2019-02-13,-1.0
2019-02-22,0.0
2019-02-24,-1.0
2019-03-14,-1.0
2019-03-15,0.0
2019-03-24,-1.0
2019-04-01,-1.0
2019-04-12,-1.0
2019-04-18,0.0
2019-04-23,0.0
2019-04-28,-1.0
2019-05-05,-1.0
2019-05-06,-1.0
2019-05-07,-1.0
2019-05-11,-1.0
2019-05-13,-1.0
2019-05-14,0.0
2019-05-15,-1.0
2019-05-16,-1.0
2019-05-19,-1.0
2019-05-20,-1.0
2019-05-23,-1.0
2019-05-28,0.0
2019-05-30,-1.0
2019-06-01,-1.0
2019-06-02,-1.0
2019-06-05,0.0
2019-06-06,-1.0
2019-06-10,-1.0
2019-06-11,-1.0
2019-06-19,-1.0
2019-06-20,0.0
2019-06-24,-1.0
2019-07-02,-1.0
2019-07-04,-1.0
2019-07-07,-0.5
2019-07-16,-1.0
2019-07-25,-1.0
2019-07-26,-1.0
2019-07-27,0.0
2019-07-29,0.0
2019-08-03,-1.0
2019-08-11,0.0
2019-08-12,0.0
2019-08-20,0.5
2019-08-21,-0.5
2019-08-23,0.0
2019-08-24,-1.0
2019-08-28,-1.0
2019-08-30,-1.0
2019-09-02,-1.0
2019-09-04,-1.0
2019-09-08,0.0
2019-09-09,-1.0
2019-09-12,-1.0
2019-09-14,-1.0
2019-09-17,-0.5
2019-09-18,-1.0
2019-09-25,-1.0
2019-09-28,-1.0
2019-10-13,0.3333333333333333
2019-10-15,-1.0
2019-10-21,0.0
2019-10-25,-1.0
2019-10-27,-1.0
2019-10-28,-1.0
2019-11-03,-1.0
2019-11-04,0.0
2019-11-06,-1.0
2019-11-08,-1.0
2019-11-11,-1.0
2019-12-04,-1.0
2019-12-06,-1.0
2019-12-08,-1.0
2019-12-11,-1.0
2019-12-19,-1.0
2019-12-22,-1.0
2019-12-31,-1.0
2020-01-17,0.0
2020-01-20,-1.0
2020-01-21,-1.0
2020-01-22,0.0
2020-01-26,-1.0
2020-01-27,-1.0
2020-01-30,-1.0
2020-02-02,0.0
2020-02-05,-1.0
2020-02-06,-1.0
2020-02-08,-1.0
2020-02-14,0.0
2020-02-19,0.0
2020-03-03,-1.0
2020-03-07,-1.0
2020-03-16,0.0
2020-03-23,-1.0
2020-03-28,-1.0
2020-03-31,-1.0
2020-04-03,-1.0
2020-04-04,0.0
2020-04-09,0.0
2020-04-12,-1.0
2020-04-14,-0.5
2020-04-17,1.0
2020-04-22,-1.0
2020-04-28,1.0
2020-04-30,-1.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-05,1.0
2020-05-07,-1.0
2020-05-09,-1.0
2020-05-12,0.0
2020-05-14,-1.0
2020-05-31,-1.0
2020-06-04,0.0
2020-06-08,-1.0
2020-06-10,-1.0
2020-06-14,-1.0
